temperature,dI_dT
-20.0,-2.300000000003688e-07
-19.0,-2.450000000011471e-07
-18.0,-2.7000000000013125e-07
-17.0,-2.949999999991154e-07
-16.0,-3.1500000000073136e-07
-15.0,-3.350000000006126e-07
-14.0,-3.549999999987591e-07
-13.0,-3.650000000004344e-07
-12.0,-3.800000000012127e-07
-11.0,-3.999999999993592e-07
-10.0,-4.099999999992998e-07
-9.0,-4.150000000001375e-07
-8.0,-4.250000000000781e-07
-7.0,-4.350000000000187e-07
-6.0,-4.4000000000085637e-07
-5.0,-4.449999999999593e-07
-4.0,-4.4999999999906226e-07
-3.0,-4.4999999999906226e-07
-2.0,-4.5499999999989993e-07
-1.0,-4.5499999999989993e-07
0.0,-4.50000000000797e-07
1.0,-4.5499999999989993e-07
2.0,-4.5499999999989993e-07
3.0,-4.449999999999593e-07
4.0,-4.449999999999593e-07
5.0,-4.4000000000085637e-07
6.0,-4.350000000000187e-07
7.0,-4.2999999999918104e-07
8.0,-4.199999999992404e-07
9.0,-4.2000000000097515e-07
10.0,-4.1000000000103454e-07
11.0,-3.999999999993592e-07
12.0,-3.899999999994186e-07
13.0,-3.800000000012127e-07
14.0,-3.7500000000037503e-07
15.0,-3.649999999986997e-07
16.0,-3.4999999999965614e-07
17.0,-3.3999999999971553e-07
18.0,-3.299999999997749e-07
19.0,-3.1500000000073136e-07
20.0,-3.0500000000079075e-07
21.0,-2.9500000000085014e-07
22.0,-2.8000000000007186e-07
23.0,-2.649999999992936e-07
24.0,-2.5499999999935297e-07
25.0,-2.400000000003094e-07
26.0,-2.2499999999953113e-07
27.0,-2.1499999999959052e-07
28.0,-2.0000000000054696e-07
29.0,-1.8499999999976868e-07
30.0,-1.699999999989904e-07
31.0,-1.500000000008439e-07
32.0,-1.400000000009033e-07
33.0,-1.25000000000125e-07
34.0,-1.0999999999934673e-07
35.0,-9.499999999856845e-08
36.0,-7.500000000042195e-08
37.0,-6.500000000048134e-08
38.0,-4.999999999970306e-08
39.0,-2.9999999999821836e-08
40.0,-1.500000000077828e-08
41.0,0.0
42.0,1.500000000077828e-08
43.0,2.4999999998984168e-08
44.0,4.499999999886539e-08
45.0,6.00000000013784e-08
46.0,7.500000000042195e-08
47.0,9.499999999856845e-08
48.0,1.0500000000024379e-07
49.0,1.2000000000102207e-07
50.0,1.3500000000006562e-07
51.0,1.4999999999910918e-07
52.0,1.7000000000072513e-07
53.0,1.8499999999976868e-07
54.0,1.949999999997093e-07
55.0,2.0500000000138463e-07
56.0,2.2499999999953113e-07
57.0,2.399999999985747e-07
58.0,2.5000000000025e-07
59.0,2.650000000010283e-07
60.0,2.8000000000007186e-07
61.0,2.949999999991154e-07
62.0,3.04999999999056e-07
63.0,3.1500000000073136e-07
64.0,3.3000000000150964e-07
65.0,3.3999999999971553e-07
66.0,3.4999999999965614e-07
67.0,3.6999999999953737e-07
68.0,3.79999999999478e-07
69.0,3.8500000000031565e-07
70.0,3.9500000000025626e-07
71.0,4.1000000000103454e-07
72.0,4.199999999992404e-07
73.0,4.250000000000781e-07
74.0,4.350000000000187e-07
75.0,4.449999999999593e-07
76.0,4.5499999999989993e-07
77.0,4.5999999999900287e-07
78.0,4.6499999999984054e-07
79.0,4.7499999999978115e-07
80.0,4.800000000006188e-07
81.0,4.849999999997218e-07
82.0,4.949999999996624e-07
83.0,5.000000000005e-07
84.0,5.000000000005e-07
85.0,5.04999999999603e-07
86.0,5.100000000004407e-07
87.0,5.100000000004407e-07
88.0,5.149999999995436e-07
89.0,5.200000000003813e-07
90.0,5.149999999995436e-07
91.0,5.149999999995436e-07
92.0,5.150000000012783e-07
93.0,5.149999999995436e-07
94.0,5.149999999995436e-07
95.0,5.100000000004407e-07
96.0,5.04999999999603e-07
97.0,5.04999999999603e-07
98.0,5.000000000005e-07
99.0,4.900000000005594e-07
100.0,4.899999999988247e-07
101.0,4.849999999997218e-07
102.0,4.750000000015159e-07
103.0,4.6499999999984054e-07
104.0,4.5499999999989993e-07
105.0,4.449999999999593e-07
106.0,4.2999999999918104e-07
107.0,4.2000000000097515e-07
108.0,4.099999999992998e-07
109.0,3.9500000000025626e-07
110.0,3.800000000012127e-07
111.0,3.649999999986997e-07
112.0,3.4999999999965614e-07
113.0,3.3000000000150964e-07
114.0,3.099999999998937e-07
115.0,2.9000000000001247e-07
116.0,2.7000000000013125e-07
117.0,2.499999999985153e-07
118.0,2.2499999999953113e-07
119.0,2.0000000000054696e-07
120.0,1.7499999999982807e-07
121.0,1.500000000008439e-07
122.0,1.25000000000125e-07
123.0,9.499999999856845e-08
124.0,5.999999999964367e-08
125.0,2.9999999999821836e-08
126.0,0.0
127.0,-3.499999999892478e-08
128.0,-6.999999999958428e-08
129.0,-1.0500000000024379e-07
130.0,-1.3999999999916857e-07
131.0,-1.8000000000066574e-07
132.0,-2.2500000000126585e-07
133.0,-2.649999999992936e-07
134.0,-3.04999999999056e-07
135.0,-3.4999999999965614e-07
136.0,-3.9500000000025626e-07
137.0,-4.449999999999593e-07
138.0,-4.900000000005594e-07
139.0,-5.400000000002625e-07
140.0,-5.949999999990685e-07
141.0,-6.450000000005063e-07
142.0,-6.950000000002093e-07
143.0,-7.499999999990153e-07
144.0,-8.100000000003937e-07
145.0,-8.700000000000374e-07
146.0,-9.299999999996811e-07
147.0,-9.900000000010595e-07
148.0,-1.054999999999806e-06
149.0,-1.1149999999994498e-06
150.0,-1.1400000000001687e-06
