  Time                 , V(ref)               
  6.000000001301e-06  ,0.5  
  6.000000001701e-06  ,7.154468894005e-01  
  6.000000002002e-06  ,-6.498234719038e-02  
  6.000000002082e-06  ,-6.498425453901e-02  
  6.000000002242e-06  ,-6.498139351606e-02  
  6.000000002561e-06  ,-6.498436629772e-02  
  6.000000003200e-06  ,-6.498394906521e-02  
  6.000000004477e-06  ,-6.498362123966e-02  
  6.000000007032e-06  ,-6.498373299837e-02  
  6.000000012141e-06  ,-6.498375535011e-02  
  6.000000022360e-06  ,-6.498378515244e-02  
  6.000000042798e-06  ,-6.498376280069e-02  
  6.000000083674e-06  ,-6.498368084431e-02  
  6.000000165427e-06  ,-6.498356163502e-02  
  6.000000328931e-06  ,-6.498327106237e-02  
  6.000000655940e-06  ,-6.498271971941e-02  
  6.000001309957e-06  ,-6.498160958290e-02  
  6.000002617993e-06  ,-6.497938930988e-02  
  6.000005234063e-06  ,-6.497495621443e-02  
  6.000010466204e-06  ,-6.496609002352e-02  
  6.000020930487e-06  ,-6.494835764170e-02  
  6.000041859051e-06  ,-6.491293013096e-02  
  6.000083716180e-06  ,-6.484220176935e-02  
  6.000167430438e-06  ,-6.470124423504e-02  
  6.000334858954e-06  ,-6.442127376795e-02  
  6.000669715986e-06  ,-6.386893987656e-02  
  6.001339430049e-06  ,-6.279303878546e-02  
  6.002678858176e-06  ,-6.074525415897e-02  
  6.005357714429e-06  ,-5.699847638607e-02  
  6.010715426937e-06  ,-5.057166516781e-02  
  6.021430851951e-06  ,-4.089698195457e-02  
  6.035506488815e-06  ,-3.422696515918e-02  
  6.050807001129e-06  ,-3.186353668571e-02  
  6.070545079246e-06  ,-3.113603964448e-02  
  6.100842120185e-06  ,-3.093753382564e-02  
  6.158455969825e-06  ,-3.071633167565e-02  
  6.273683669105e-06  ,-3.016730211675e-02  
  6.433686377540e-06  ,-2.915674261749e-02  
  6.593689085975e-06  ,-2.753841318190e-02  
  6.753691794410e-06  ,-2.440061978996e-02  
  6.913694502845e-06  ,-1.699569821358e-02  
  7.073697211280e-06  ,-3.367890790105e-02  
  7.189628245369e-06  ,-2.123125642538e-02  
  7.231119038597e-06  ,-1.337353419513e-02  
  7.303789021507e-06  ,-8.059620857239e-03  
  7.425191761985e-06  ,-4.476265981793e-03  
  7.557442547813e-06  ,-1.806451007724e-03  
  7.693150403038e-06  ,-7.724944152869e-04  
  7.786550881401e-06  ,-4.331899108365e-04  
  7.898893715873e-06  ,-2.278961328557e-04  
  8.000000000000e-06  ,-1.233568764292e-04  
